track.name,name,song_id
The Times They Are A-Changin',Bob Dylan,52vA3CYKZqZVdQnzRrdZt6
With Or Without You - Remastered,U2,4kAJawkLZj4Q7N5521ofP6
Mystery Train,Elvis Presley,5VusAmJBDjPRDqlIIWYsjT
Leader Of The Pack,The Shangri-Las,3Vropzr1tjjl5gy1McuEVI
Let's Get It On,Marvin Gaye,2GQL4zozIA137E0XHWFUXZ
La Bamba,Ritchie Valens,45tvwstsyedocpZiWWPUvO
Dance Yrself Clean,LCD Soundsystem,2cmRpmO04TLaKPzmAzySYZ
Relax,Frankie Goes To Hollywood,1K3RzyzlBhMzOZtR0yepeb
The Model - 2009 Remaster,Kraftwerk,1FL9DHDSED6lxNMDJUJQvB
Rebellion (Lies),Arcade Fire,697LWfA49GjDHL7utykini
Don't Worry Baby (Mono),The Beach Boys,3ES1OsBlHwGiHdyKN04DcN
Debaser,Pixies,3FzKPS0oVknVlCW3PhxIHl
Sweet Jane,The Velvet Underground,4ZmeD4yW8Ph8aJFpMZXrXA
Why Do Fools Fall In Love,Frankie Lymon & The Teenagers,2BZHNcD8DyQ48Uul1THQkC
Running Up That Hill (A Deal With God),Kate Bush,75FEaRjZTKLhTrFGsfMUXR
Beat It,Michael Jackson,1OOtq8tRnDM8kG2gqUPjAj
Wish You Were Here - 2011 Remastered Version,Pink Floyd,1wHSxWBfPr3GO31y8KGrWe
Sabotage - 2009 Digital Remaster,Beastie Boys,7zLZFcyX6jN6YX7KFRzZf3
Alone Again Or,Love,6hXHOrhKW9dgQt35Mc5dCb
One More Time,Daft Punk,0DiWol3AO6WpXZgp0goxAV
Green Light,Lorde,3I4QOvltiKcMu3xmnQjEct
Over And Over,Hot Chip,6m5D7zGVbzAxceDXQTsRSX
All the Young Dudes,Mott The Hoople,0WNGPpmWqzPnk0psUhJ3SX
The Boys Are Back In Town,Thin Lizzy,2iAq1y8jEVOQM6OA8L0XtO
Lose Yourself - Soundtrack Version,Eminem,0j5X6DrzkgY64Mm8NQp5mi
212,Azealia Banks,4vk4WOyNox2MUod49fylnM
212,Lazy Jay,4vk4WOyNox2MUod49fylnM
Firestarter,The Prodigy,0QwzCPyTv6UnzjAhZZ0CkB
Kick Out the Jams,MC5,1cLfXnBwTFuRngRZfQeLof
See Emily Play - 2001 Remastered Version,Pink Floyd,0bNiomtzeEM7KHlxJtZI39
Two Weeks,Grizzly Bear,0iTpQYzJnYgh7kIxyq8A2O
Girls & Boys - 2012 Remaster,Blur,2qrL1YF9aA865b6SKhLZ78
Son Of A Preacher Man,Dusty Springfield,5TbLONSGZsR8cbhNEodCH6
Cannonball,The Breeders,11nv53N7ZnNTCgyl8yxvYd
B.O.B. - Bombs Over Baghdad,Outkast,3WibbMr6canxRJXhNtAvLU
Thinkin Bout You,Frank Ocean,7DfFc7a6Rwfi3YQMRbDMau
Many Rivers To Cross,Jimmy Cliff,40rAmSzxObSyGNWuo0vF0z
Gold Digger,Kanye West,5XJJdNPkwmbUwE79gv0NxK
Gold Digger,Jamie Foxx,5XJJdNPkwmbUwE79gv0NxK
Israelites,Desmond Dekker & The Aces,6zho9FpcQLZUN7uiH9QpL7
Something - Remastered,The Beatles,7oSUp4yZ0FbuSvVmCxH2ty
Ring Of Fire - Single Version,Johnny Cash,44l07lisS0RwjmZFN8eR9W
Sexual Healing,Marvin Gaye,3VZmChrnVW8JK6ano4gSED
Cross Road Blues,Robert Johnson,1TrGdXSgiBm8W68D2K1COG
Highway To Hell,AC/DC,2Ad9AoxEjqRScYJTPAElo0
Born To Be Wild,Steppenwolf,63OFKbMaZSDZ4wtesuuq6f
Da Funk,Daft Punk,0MyY4WcN7DIfbSmp5yej5z
Theme From Shaft,Isaac Hayes,7nPc4tfJCRvcxxt9Xz3ugx
Brass in Pocket,Pretenders,6YrHQ3Uv9YXK2gJNVTlT8P
"Shake, Rattle and Roll",Big Joe Turner,7aLoa1F3EoM8AeC6Ao1RKz
(I'm Your) Hoochie Coochie Man,Muddy Waters,5PXeYIqbZg0vb2elR5zHrH
Jesus Walks,Kanye West,79ek2oolIYyGUO4aVK5IY2
Suzanne,Leonard Cohen,50LqU2nhdE3fmWOuqOjpjz
Bye Bye Love,The Everly Brothers,0xK34uEDBKa9ZzJ6kelLJE
Windowlicker,Aphex Twin,60Pe9j2pCBa4Zp4ztf5nhd
Heartbeats,The Knife,66e6O0B9GmSRNAnzB0Bm74
School's Out,Alice Cooper,5Z8EDau8uNcP1E8JvmfkZe
Stop! In The Name Of Love,The Supremes,7FqSO3lbsOEizrtammiZ8Y
La Vie en rose,Édith Piaf,3lAun9V0YdTlCSIEXPvfsY
Fell In Love With a Girl,The White Stripes,5MSKj7wpVQqSYsnEz1SaTr
Enter Sandman,Metallica,1hKdDCpiI9mqz1jVHRKG0E
Je t'aime moi non plus,Serge Gainsbourg,59q2h8WrGT3khKexiAHWlk
Je t'aime moi non plus,Jane Birkin,59q2h8WrGT3khKexiAHWlk
Where Is My Mind?,Pixies,6mcxQ1Y3uQRU0IHsvdNLH1
96 Tears,? & The Mysterians,5C6ZxxJloQhJGC1EiRM7da
Stan,Eminem,2DmziJbL8yx0s4dCutrwTf
Stan,Dido,2DmziJbL8yx0s4dCutrwTf
Radio Free Europe,R.E.M.,6l6O0Q6pd1tc1DiE7GLy4u
Bring The Noise,Public Enemy,2bKNjAVYsbJ35N2OXFfAxO
Ace Of Spades,Motörhead,47FyQCd3TYLrZ9TU6MPaWK
Where Did Our Love Go - Stereo Version,The Supremes,6yz8hKpO3s2byra8Et3w9x
Teen Age Riot,Sonic Youth,2tHCRnraE3HBGewTsaxhgh
(Your Love Keeps Lifting Me) Higher and Higher,Jackie Wilson,2P42mn8y5OCL8iBD8n3s8e
Wake Up,Arcade Fire,4VAkPXhI7xQ6FHlUuY3RzB
Rumble,Link Wray,0pxThPQcINQ8bBGFGYMwAD
